Country,Region,GDP_2024_USD,GDP_2024_USD_Billion,Rank
China,Western Pacific,18000000000000,18000,1
Japan,Western Pacific,4200000000000,4200,2
Australia,Western Pacific,1700000000000,1700,3
South Korea,Western Pacific,1700000000000,1700,4
Singapore,Western Pacific,500000000000,500,5
Philippines,Western Pacific,460000000000,460,6
Malaysia,Western Pacific,450000000000,450,7
Vietnam,Western Pacific,450000000000,450,8
New Zealand,Western Pacific,250000000000,250,9
Cambodia,Western Pacific,34000000000,34,10
Papua New Guinea,Western Pacific,32000000000,32,11
Mongolia,Western Pacific,18000000000,18,12
Brunei,Western Pacific,17000000000,17,13
Lao PDR,Western Pacific,15000000000,15,14
Fiji,Western Pacific,5000000000,5,15
Solomon Islands,Western Pacific,1600000000,1.6,16
Vanuatu,Western Pacific,1000000000,1,17
Samoa,Western Pacific,900000000,0.9,18
Tonga,Western Pacific,600000000,0.6,19
Micronesia,Western Pacific,400000000,0.4,20
Marshall Islands,Western Pacific,300000000,0.3,21
Palau,Western Pacific,300000000,0.3,22
Kiribati,Western Pacific,250000000,0.25,23
Nauru,Western Pacific,150000000,0.15,24
Tuvalu,Western Pacific,60000000,0.06,25
